"Qty","Value","Device","Package","Parts","Description","COPYRIGHT","MANUFACTURER_PART_NUMBER","MF","MFR_NAME","MPN","OC_FARNELL","OC_NEWARK","POPULARITY","TOLERANCE","VOLTAGE",
"7","","LEDSML0805","SML0805","CE, IRQ, PD5, PD6, PWR, RX, TX","LED","","","","","","","","17","","",
"1","","PINHD-2X3","2X03","ICSP","PIN HEADER","","","","","","","","62","","",
"1","","PINHD-2X4","2X04","JP1","PIN HEADER","","","","","","","","47","","",
"2","100n","C-USC0805","C0805","C6, C8","CAPACITOR, American symbol","","","","","","","","","","",
"1","10n","C-USC0805","C0805","C3","CAPACITOR, American symbol","","","","","","","","","","",
"2","1k","R-US_R0805","R0805","R12, R13","RESISTOR, American symbol","","","","","","","","","","",
"4","1u","C-USC0805","C0805","C1, C2, C4, C5","CAPACITOR, American symbol","","","","","","","","","","",
"1","2508056017Y2","2508056017Y2","IND_25_0805_FRT","L1","","Copyright (C) 2023 Ultra Librarian. All rights reserved.","2508056017Y2","","Fair-Rite","","","","","","",
"2","27","R-US_R0603","R0603","R10, R11","RESISTOR, American symbol","","","","","","","","","","",
"8","4.7k","R-US_R0805","R0805","R1, R2, R3, R4, R5, R6, R7, R8","RESISTOR, American symbol","","","","","","","","","","",
"1","4.7u","C-USC0805","C0805","C7","CAPACITOR, American symbol","","","","","","","","","","",
"2","47p","C-USC0603","C0603","C9, C10","CAPACITOR, American symbol","","","","","","","","","","",
"1","ADP121-AUJZ33R7","ADP121-AUJZ33R7","UJ_5_ADI","U2","","Copyright (C) 2023 Ultra Librarian. All rights reserved.","ADP121-AUJZ33R7","","Analog Devices Inc","","","","","","",
"1","ATMEGA328PB-AU","ATMEGA328PB-AU","32A_MCH","U1","","Copyright (C) 2023 Ultra Librarian. All rights reserved.","ATMEGA328PB-AU","","Microchip","","","","","","",
"1","CSTNE16M0V530000R0","CSTNE16M0V530000R0","CSTNE16M0V530000R0_MUR","Y2","","Copyright (C) 2023 Ultra Librarian. All rights reserved.","CSTNE16M0V530000R0","","Murata","","","","","","",
"1","FT230XS","FT230XS","SSOP16","U3","USB to BASIC UART IC","","","","","","","","1","","",
"1","MINI-USB-32005-201","MINI-USB-32005-201","32005-201","J1","MINI USB-B Conector","","","","","","unknown","unknown","5","","",
